id,Duration (in seconds),Q1.2,Q2.1,Q2.2,Q2.3,F4_1,F4_2,F4_3,F4_4,F4_5,Q2.5,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q3.1_5,Q3.1_6,Q3.1_7,Q3.1_8,Q3.1_9,Q3.1_10,Q3.1_11,Q3.1_12,Q3.1_13,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.2_7,Q3.2_8,Q3.2_9,Q3.3,Q4.1,Q4.1_11_TEXT,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.2_6,Q4.2_7,Q4.2_8,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.3_6,Q4.3_7,Q4.3_8,Q4.3_9,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.4_6,Q4.4_7,Q4.4_8,Q4.4_9,Q4.4_10,Q4.4_11,Q4.4_12,Q4.4_13,Q4.4_14,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.6_6,Q4.6_7,Q4.6_8,Q4.6_9,Q4.6_10,Q4.6_11,Q4.7_1,Q4.7_2,Q4.7_3,Q4.7_4,Q4.7_5,Q4.7_6,Q4.7_7,Q4.8_1,Q4.8_2,Q4.8_3,Q4.8_4,Q4.8_5,Q4.9_1,Q4.9_2,Q4.9_3,Q4.9_4,Q4.9_5,Q4.9_6,Q4.9_7,Q4.9_8,Q4.9_9,Q4.9_10,Q4.9_11,Q4.10_1,Q4.10_2,Q4.10_3,Q4.10_4,Q4.10_5,Q4.10_6,Q4.11_1,Q4.11_2,Q4.11_3,Q4.11_4,Q4.11_5,Q4.11_6,Q4.11_7,Q4.11_8,Q4.11_9,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q5.1_7,Q5.1_8,Q5.1_9,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.2_5,Q5.2_6,Q5.2_7,Q5.2_8,Q5.2_9,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.3_5,Q5.3_6,Q5.3_7,Q5.3_8,Q5.3_9,Q9.1,sex,age,pref
1,242,1,3,6,7,0,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,6,7,6,6,6,5,5,5,3,2,3,3,2,4,3,2,1,50,50,50,50,50,50,50,67,81,62,62,63,65,60,4,4,4,4,3,3,4,4,5,4,4,2,6,4,3,5,3,2,4,5,5,5,5,2,4,5,3,4,4,3,4,5,5,3,2,3,2,2,3,3,3,1,3,3,2,2,2,3,2,,,,,,,,,,4,4,5,3,4,5,2,4,4,,,,,,,,,,1,2,44,27
2,218,1,4,1,4,0,0,0,0,0,99,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,1,,12,,8,6,7,7,6,3,3,2,2,2,3,99,99,2,2,1,1,,,,,,,,,,,,,,,4,4,3,4,4,1,3,3,3,3,3,5,5,5,3,6,2,6,,,,,,4,3,2,4,3,2,5,2,3,1,3,2,3,2,5,4,3,1,3,2,1,1,88,4,1,4,,,,,,,,,,,,,,,,,,,4,3,5,5,6,4,3,4,3,1,1,29,14
3,315,1,4,1,3,0,0,0,0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,24,11
4,162,1,4,1,6,0,0,0,0,0,2,2,3,3,3,2,3,3,3,3,3,2,3,3,1,,,,,,,,,1,4,,3,6,7,3,0,8,5,5,4,2,5,4,4,3,3,3,3,62,35,43,41,64,54,45,42,60,37,60,69,58,62,3,4,4,3,2,3,4,4,4,4,4,4,3,4,2,4,5,4,5,5,4,4,5,3,5,4,4,3,5,3,5,4,4,3,4,1,3,4,2,3,5,4,3,3,4,3,4,3,3,,,,,,,,,,3,2,4,3,2,3,3,5,3,,,,,,,,,,1,1,27,8
5,196,1,4,1,99,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,12,,,,,,,,,,88,88,88,88,88,88,88,88,88,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,2,,,,,,88,88,88,88,88,88,88,88,6,4,3,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,,,,,6,6,6,6,6,6,6,6,6,,,,,,,,,,1,1,24,13
6,220,1,1,1,7,0,0,0,0,0,3,3,1,1,2,2,2,3,1,2,1,1,2,2,1,,,,,,,,,1,12,,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,49,50,50,50,50,50,50,50,50,50,50,50,50,50,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,1,1,38,10
7,306,1,99,99,99,0,0,0,0,0,1,3,3,3,3,3,3,3,1,3,1,1,3,3,,,,,,,,1,,,12,,,,,,,,,,88,88,88,88,88,88,88,88,4,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,6,88,88,88,88,88,88,88,88,2,7,7,7,7,7,88,88,88,88,88,88,88,88,6,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,,,,,6,6,6,6,6,6,6,6,6,,,,,,,,,,1,1,44,11
8,464,1,4,1,10,0,0,0,0,0,3,3,88,88,3,3,3,3,2,3,2,3,3,3,,,,,,,,,1,,12,,,,,,,,,,2,2,3,88,3,3,4,5,4,,,,,,,,64,66,64,,,,,4,4,4,4,4,4,4,88,4,4,4,4,4,4,4,4,4,2,3,5,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,5,88,4,88,88,2,3,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,26,23
9,321,1,4,4,7,2,1,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,1,,,5,,5,7,0,5,0,0,0,0,3,3,3,3,3,3,3,3,3,49,0,0,50,0,0,0,50,50,50,50,50,50,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,3,3,3,3,3,3,3,3,3,,,,,,,,,,1,1,45,11
10,580,1,4,1,10,0,0,0,0,0,1,3,2,3,3,3,3,3,3,1,2,3,3,3,,,,,,,,,1,,12,,4,7,6,6,0,6,5,5,4,4,4,3,5,4,4,4,4,18,24,4,19,20,0,26,50,50,50,40,40,40,42,2,2,3,2,4,2,3,1,5,4,4,3,2,3,2,3,3,2,3,4,3,3,2,3,3,2,2,3,2,3,2,4,3,4,3,3,3,3,3,4,3,4,2,3,4,2,4,2,3,,,,,,,,,,3,3,3,3,3,2,3,3,3,,,,,,,,,,1,1,51,13
